epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.9879,2.58382,1.48518,1.13227,0.53373,0.37246,0.35816,0.12518,2.60102,1.34507,1.07118,0.000660045,0.000660045,0.000660045
43,81.1911,2.39702,1.45067,1.13281,0.36342,0.4006,0.32698,0.10941,2.68204,1.37864,1.09097,0.000649046,0.000649046,0.000649046
44,82.997,2.44918,1.46798,1.12985,0.51271,0.33154,0.33186,0.11608,2.72174,1.33793,1.09036,0.000638047,0.000638047,0.000638047
45,84.8056,2.3877,1.39072,1.11155,0.48351,0.345,0.32213,0.11607,2.79158,1.37254,1.09347,0.000627048,0.000627048,0.000627048
46,86.8165,2.45871,1.35753,1.09847,0.36412,0.35843,0.28931,0.10129,2.89924,1.39944,1.10239,0.000616049,0.000616049,0.000616049
47,88.6965,2.52854,1.4501,1.10818,0.34635,0.35857,0.29061,0.10558,2.77129,1.3995,1.09463,0.000605051,0.000605051,0.000605051
48,90.6103,2.46105,1.38142,1.11823,0.38311,0.34237,0.30359,0.11444,2.66463,1.39471,1.08801,0.000594052,0.000594052,0.000594052
49,92.8156,2.4835,1.41943,1.11704,0.43365,0.32475,0.28468,0.09413,2.83406,1.48944,1.11217,0.000583053,0.000583053,0.000583053
50,92.9651,2.4465,1.44452,1.11603,0.4311,0.31156,0.27133,0.08467,2.90778,1.52818,1.11515,0.000572054,0.000572054,0.000572054
51,95.0392,2.3826,1.38953,1.09015,0.50038,0.34374,0.32676,0.10686,2.8082,1.46641,1.08652,0.000561055,0.000561055,0.000561055
52,96.8608,2.49715,1.36598,1.1013,0.39469,0.38214,0.34179,0.1246,2.71894,1.39828,1.07246,0.000550056,0.000550056,0.000550056
53,98.9276,2.4155,1.31817,1.09171,0.42763,0.39962,0.3498,0.1263,2.5866,1.34599,1.06762,0.000539057,0.000539057,0.000539057
54,100.927,2.44962,1.36349,1.11329,0.44297,0.40942,0.35068,0.12689,2.51042,1.30223,1.06728,0.000528058,0.000528058,0.000528058
55,102.92,2.39982,1.32013,1.1041,0.41443,0.39095,0.34583,0.12052,2.60027,1.29115,1.06478,0.000517059,0.000517059,0.000517059
56,104.848,2.40698,1.33025,1.09509,0.44338,0.37162,0.33552,0.12176,2.69898,1.26956,1.07021,0.00050606,0.00050606,0.00050606
57,106.838,2.36805,1.39483,1.08981,0.46855,0.41297,0.34313,0.12602,2.73823,1.23144,1.08441,0.000495062,0.000495062,0.000495062
58,108.918,2.3091,1.34032,1.09532,0.49244,0.39598,0.3718,0.13262,2.67762,1.22271,1.08647,0.000484063,0.000484063,0.000484063
59,111.059,2.40895,1.29016,1.0918,0.5411,0.40797,0.38541,0.13943,2.6219,1.19647,1.08095,0.000473064,0.000473064,0.000473064
60,113.089,2.40975,1.37524,1.1038,0.53071,0.44068,0.40114,0.13528,2.60831,1.15715,1.06704,0.000462065,0.000462065,0.000462065
61,114.799,2.28901,1.25882,1.0814,0.46008,0.41285,0.36956,0.13178,2.59318,1.1826,1.0662,0.000451066,0.000451066,0.000451066
62,116.717,2.22538,1.24742,1.08292,0.40984,0.36999,0.32246,0.1218,2.59578,1.22231,1.07442,0.000440067,0.000440067,0.000440067
